ad_id,campaign_id,date,platform,age_group,impressions,clicks,conversions,spend,revenue,ctr,cpc,cpm,cvr,cpa,quality_score,quality_label
1,CAMP_001,2026-04-01,Facebook,25-34,23548,1070,53,75,216,0.04543910310854425,0.07009345794392523,3.184983862748429,0.04953271028037383,1.4150943396226414,4,good
2,CAMP_001,2026-04-02,Facebook,35-44,24816,1191,57,73,243,0.04799323017408124,0.061293031066330814,2.9416505480335267,0.04785894206549118,1.280701754385965,4,good
3,CAMP_001,2026-04-03,Facebook,18-24,26839,1614,96,92,276,0.060136368717165316,0.057001239157372985,3.427847535303104,0.05947955390334572,0.9583333333333334,4,good
4,CAMP_001,2026-04-04,Facebook,45-54,24615,1079,55,84,244,0.043835059922811295,0.0778498609823911,3.412553321145643,0.05097312326227989,1.5272727272727273,4,good
5,CAMP_001,2026-04-05,Facebook,35-44,26405,1211,90,117,334,0.04586252603673547,0.09661436829066887,4.43097898125355,0.07431874483897605,1.3,4,good
6,CAMP_001,2026-04-06,Facebook,35-44,25845,1519,89,123,327,0.0587734571483846,0.08097432521395655,4.759141033081834,0.05859117840684661,1.3820224719101124,4,good
7,CAMP_001,2026-04-07,Facebook,35-44,27903,1437,103,82,221,0.0514998387270186,0.05706332637439109,2.9387521055083683,0.07167710508002784,0.7961165048543689,4,good
8,CAMP_001,2026-04-08,Facebook,35-44,27318,1693,86,90,313,0.06197379017497621,0.05316007088009451,3.2945310784098396,0.050797401063201415,1.0465116279069768,4,good
9,CAMP_001,2026-04-09,Facebook,18-24,27301,1349,92,112,365,0.04941210944654042,0.08302446256486286,4.102413830995202,0.0681986656782802,1.2173913043478262,4,good
10,CAMP_001,2026-04-10,Facebook,18-24,27528,1457,59,104,343,0.05292792792792793,0.07137954701441318,3.777971519907004,0.04049416609471517,1.7627118644067796,3,good
11,CAMP_002,2026-04-01,Google Ads,35-44,22995,1165,61,113,349,0.05066318764948902,0.09699570815450644,4.914111763426832,0.05236051502145923,1.8524590163934427,3,good
12,CAMP_002,2026-04-02,Google Ads,45-54,21851,1102,50,93,241,0.05043247448629353,0.08439201451905626,4.256098119079218,0.045372050816696916,1.86,3,good
13,CAMP_002,2026-04-03,Google Ads,18-24,23619,1136,57,82,248,0.0480968711630467,0.0721830985915493,3.4717811931072444,0.05017605633802817,1.4385964912280702,4,good
14,CAMP_002,2026-04-04,Google Ads,45-54,22488,1007,73,118,417,0.044779437922447526,0.11717974180734857,5.247242974030594,0.07249255213505462,1.6164383561643836,3,good
15,CAMP_002,2026-04-05,Google Ads,18-24,22044,1096,45,113,436,0.04971874432952277,0.1031021897810219,5.126111413536564,0.04105839416058394,2.511111111111111,3,good
16,CAMP_002,2026-04-06,Google Ads,35-44,25248,1242,77,114,390,0.04919201520912547,0.09178743961352658,4.515209125475285,0.061996779388083734,1.4805194805194806,4,good
17,CAMP_002,2026-04-07,Google Ads,35-44,24601,1080,66,102,352,0.04390065444494126,0.09444444444444444,4.146172919800008,0.06111111111111111,1.5454545454545454,4,good
18,CAMP_002,2026-04-08,Google Ads,25-34,24442,1477,68,104,341,0.060428770149742246,0.07041299932295193,4.254970951640619,0.046039268788083954,1.5294117647058822,4,good
19,CAMP_002,2026-04-09,Google Ads,35-44,26363,1365,98,121,469,0.05177711186132079,0.08864468864468865,4.5897659598679965,0.07179487179487179,1.2346938775510203,4,good
20,CAMP_002,2026-04-10,Google Ads,18-24,25128,1590,89,124,396,0.06327602674307545,0.0779874213836478,4.934734161095192,0.0559748427672956,1.3932584269662922,4,good
21,CAMP_003,2026-04-01,Facebook,18-24,24215,1122,59,88,269,0.04633491637414826,0.0784313725490196,3.6341110881684906,0.05258467023172905,1.4915254237288136,4,good
22,CAMP_003,2026-04-02,Facebook,35-44,25164,1294,106,113,322,0.05142266730249563,0.08732612055641421,4.4905420441901125,0.08191653786707882,1.0660377358490567,4,good
