ad_id,campaign_id,date,platform,age_group,impressions,clicks,conversions,spend,revenue
1,CAMP_004,2026-05-27,Facebook,13-17,15358,718,80,60.65,33.66
2,CAMP_008,2026-05-10,Google Ads,55-64,32458,2738,320,109.81,34.92
3,CAMP_009,2026-05-13,Facebook,18-24,8430,378,19,34.52,22.62
4,CAMP_010,2026-05-17,TikTok,35-44,8072,559,90,57.9,47.7
5,CAMP_010,2026-05-27,Instagram,18-24,14986,429,35,57.07,40.49
6,CAMP_008,2026-05-08,Facebook,35-44,27516,1865,301,57.06,23.45
7,CAMP_007,2026-05-09,LinkedIn,13-17,7461,511,39,32.52,17.92
8,CAMP_007,2026-05-14,LinkedIn,65+,26595,2150,343,155.53,147.45
9,CAMP_002,2026-05-05,Instagram,45-54,1393,115,19,3.35,1.38
10,CAMP_008,2026-05-06,LinkedIn,18-24,10568,739,118,31.04,1.22
11,CAMP_001,2026-05-27,Google Ads,35-44,8339,380,66,62.15,47.84
12,CAMP_004,2026-05-07,TikTok,13-17,37505,2043,108,248.69,16.42
13,CAMP_010,2026-05-23,Facebook,55-64,34292,2268,80,87.43,36.16
14,CAMP_005,2026-05-06,LinkedIn,65+,6142,298,34,44.42,29.48
15,CAMP_005,2026-05-22,TikTok,35-44,62489,1618,135,53.57,35.72
16,CAMP_008,2026-05-04,Instagram,55-64,12881,493,64,129.68,6.05
17,CAMP_006,2026-05-15,Facebook,35-44,12650,362,51,53.41,0.01
18,CAMP_005,2026-05-05,LinkedIn,13-17,9574,492,83,108.65,77.46
19,CAMP_009,2026-05-27,Programmatic,25-34,26719,709,36,72.67,20.01
20,CAMP_011,2026-05-13,Facebook,13-17,25602,1417,167,225.65,45.7
21,CAMP_010,2026-05-04,Google Ads,35-44,15309,690,96,179.92,63.21
22,CAMP_012,2026-05-11,TikTok,18-24,32338,2404,157,299.33,35.81
23,CAMP_005,2026-05-20,LinkedIn,55-64,35843,1385,115,234.54,125.07
24,CAMP_008,2026-05-04,Facebook,25-34,32697,2096,250,263.47,240.83
25,CAMP_004,2026-05-24,LinkedIn,55-64,27930,1412,250,159.76,93.13
26,CAMP_002,2026-05-19,Facebook,18-24,13343,543,76,133.36,13.28
27,CAMP_001,2026-05-25,Google Ads,35-44,17120,1408,188,131.56,11.52
28,CAMP_004,2026-05-02,Programmatic,55-64,4365,255,23,13.02,4.92
29,CAMP_002,2026-05-22,Facebook,35-44,6462,471,31,50.34,26.88
30,CAMP_005,2026-05-02,LinkedIn,25-34,23510,853,33,157.93,132.14
31,CAMP_009,2026-05-03,Programmatic,35-44,696,25,3,6.42,4.37
32,CAMP_007,2026-05-25,Facebook,45-54,10653,430,16,61.46,17.11
33,CAMP_011,2026-05-14,LinkedIn,35-44,31290,1818,292,235.11,208.36
34,CAMP_011,2026-05-10,Instagram,25-34,22316,877,26,213.4,91.28
35,CAMP_001,2026-05-23,Facebook,55-64,10287,262,13,8.4,0.03
36,CAMP_010,2026-05-19,Facebook,35-44,37599,2332,71,291.27,26.15
37,CAMP_004,2026-05-16,Facebook,25-34,4976,286,18,52.2,5.02
38,CAMP_011,2026-05-14,LinkedIn,18-24,26211,1051,121,108.45,39.75
39,CAMP_009,2026-05-08,Google Ads,25-34,50360,3574,385,459.91,162.99
40,CAMP_005,2026-05-10,Programmatic,65+,5382,236,42,59.3,50.96
41,CAMP_010,2026-05-08,Google Ads,35-44,32787,1084,138,175.52,5.24
42,CAMP_003,2026-05-12,Instagram,55-64,18312,1249,193,52.74,43.68
43,CAMP_010,2026-05-11,Facebook,25-34,14168,1130,113,56.58,3.78
44,CAMP_007,2026-05-18,TikTok,35-44,20024,753,34,135.02,117.15
45,CAMP_006,2026-05-26,Google Ads,45-54,7985,608,71,64.34,4.08
46,CAMP_001,2026-05-11,TikTok,13-17,22833,1238,151,265.5,82.23
47,CAMP_009,2026-05-24,LinkedIn,45-54,19351,689,37,109.29,23.43
48,CAMP_010,2026-05-25,TikTok,35-44,5043,206,8,57.33,45.5
49,CAMP_008,2026-05-16,Facebook,55-64,29384,2386,311,131.46,123.27
50,CAMP_007,2026-05-19,Programmatic,13-17,7580,456,23,57.67,0.77
51,CAMP_006,2026-05-13,LinkedIn,55-64,7716,647,30,59.55,14.94
52,CAMP_007,2026-05-05,LinkedIn,35-44,20272,1087,37,33.47,24.22
53,CAMP_008,2026-05-11,TikTok,18-24,10372,349,49,46.5,22.43
54,CAMP_009,2026-05-16,TikTok,65+,527,36,6,1.61,0.13
55,CAMP_004,2026-05-13,Google Ads,35-44,11278,657,93,39.73,27.41
56,CAMP_003,2026-05-03,Instagram,55-64,2267,92,9,22.26,1.82
57,CAMP_008,2026-05-04,LinkedIn,13-17,5722,243,30,37.02,16.88
58,CAMP_006,2026-05-12,Facebook,18-24,11184,918,90,131.35,8.14
59,CAMP_011,2026-05-28,Instagram,25-34,18944,1478,122,147.8,129.38
60,CAMP_001,2026-05-06,Facebook,65+,13995,771,111,128.81,42.43
61,CAMP_011,2026-05-05,Instagram,35-44,2831,146,22,7.5,5.94
62,CAMP_006,2026-05-17,Facebook,55-64,3679,186,17,7.9,6.37
63,CAMP_003,2026-05-18,Programmatic,45-54,14913,665,99,127.34,7.84
64,CAMP_007,2026-05-06,Instagram,25-34,26717,1720,301,169.17,124.53
65,CAMP_008,2026-05-26,Google Ads,55-64,11787,879,139,64.04,55.15
66,CAMP_008,2026-05-27,LinkedIn,35-44,36064,1968,124,313.79,37.31
67,CAMP_011,2026-05-04,TikTok,65+,16228,1082,99,87.67,7.07
68,CAMP_011,2026-05-08,Programmatic,65+,17705,1204,99,176.4,7.78
69,CAMP_002,2026-05-05,LinkedIn,45-54,2301,192,17,17.8,11.65
70,CAMP_004,2026-05-16,Instagram,18-24,43383,1944,142,168.11,81.31
71,CAMP_006,2026-05-26,Facebook,25-34,32829,1547,257,110.18,66.61
72,CAMP_008,2026-05-25,Google Ads,65+,14561,1162,41,110.22,34.43
73,CAMP_002,2026-05-14,TikTok,18-24,22146,1549,92,91.92,49.82
74,CAMP_011,2026-05-21,TikTok,25-34,20832,1104,79,166.34,69.33
75,CAMP_006,2026-05-05,Instagram,65+,5977,208,36,44.76,0.77
76,CAMP_011,2026-05-20,Instagram,25-34,28204,1264,59,51.44,33.9
77,CAMP_008,2026-05-24,Instagram,55-64,9457,414,54,38.01,9.45
78,CAMP_006,2026-05-23,Programmatic,55-64,25820,1070,65,164.07,39.75
79,CAMP_005,2026-05-13,Facebook,25-34,19014,1282,218,191.38,117.89
80,CAMP_008,2026-05-28,Instagram,18-24,8815,534,62,88.61,76.23
81,CAMP_004,2026-05-23,Instagram,55-64,17921,847,53,22.6,2.8
82,CAMP_007,2026-05-15,TikTok,35-44,9343,677,114,42.69,35.31
83,CAMP_009,2026-05-02,Instagram,13-17,11617,709,109,122.54,7.41
84,CAMP_007,2026-05-12,TikTok,55-64,28119,1773,78,115.41,59.68
85,CAMP_011,2026-05-15,Programmatic,13-17,10133,732,125,50.71,20.54
86,CAMP_007,2026-05-17,Instagram,35-44,16132,825,55,119.28,36.48
87,CAMP_010,2026-05-25,Programmatic,13-17,5302,208,31,33.96,3.9
88,CAMP_003,2026-05-02,Programmatic,45-54,34319,950,83,226.65,4.56
89,CAMP_004,2026-05-14,TikTok,45-54,4434,369,45,6.05,4.18
90,CAMP_006,2026-05-28,TikTok,55-64,34735,1039,166,67.18,48.64
91,CAMP_001,2026-05-03,TikTok,55-64,4103,116,7,32.05,17.37
92,CAMP_003,2026-05-09,TikTok,25-34,31037,1005,45,218.12,128.61
93,CAMP_008,2026-05-10,Programmatic,35-44,645,18,1,6.88,3.54
94,CAMP_012,2026-05-16,TikTok,35-44,20834,1083,65,122.27,77.66
95,CAMP_005,2026-05-09,Programmatic,35-44,26489,1340,186,143.23,130.45
96,CAMP_004,2026-05-17,Google Ads,55-64,21093,570,40,192.44,123.77
97,CAMP_007,2026-05-13,Facebook,35-44,34606,2911,391,344.8,172.7
98,CAMP_012,2026-05-04,Google Ads,45-54,47493,3963,612,196.5,176.19
99,CAMP_011,2026-05-09,TikTok,45-54,2308,79,8,25.09,8.62
100,CAMP_001,2026-05-06,Facebook,13-17,15039,1221,117,97.2,2.53
